Animal,Day,Outcome,Side,SpikeCount,Duration
2443,D2,0,0,0,32.7602390000011
2443,D2,1,1,0,41.3605070000012
2443,D2,0,1,0,39.8403259999995
2443,D2,1,0,0,46.880572
2443,D2,1,1,0,38.0002510000013
2443,D2,0,1,0,36.3607269999993
2443,D2,0,1,0,47.5604500000009
2443,D2,1,0,0,44.598535000001
2443,D3,1,0,0,42.200124
2443,D3,1,1,0,40.2391500000003
2443,D3,1,0,0,39.6816040000003
2443,D3,1,1,0,33.798675
2443,D3,1,0,3,38.121153
2443,D3,1,1,0,37.6002680000001
2443,D3,1,0,0,42.720045
2443,D3,1,1,0,51.55818
2443,D3,1,0,0,43.2430000000004
2443,D3,0,0,0,36.000016
2443,D3,0,0,0,45.3219399999998
2443,D3,1,1,2,43.5984340000005
2443,D3,1,0,0,42.8409590000001
2443,D3,0,0,0,33.7616870000002
2443,D3,0,0,2,40.1618550000003
2443,D3,1,1,0,42.0392300000003
2443,D4,1,1,0,41.0411009999998
2443,D4,1,0,0,41.4390759999997
2443,D4,1,1,0,34.3604100000002
2443,D4,1,0,0,40.0011600000007
2443,D4,1,1,0,39.9580510000005
2443,D4,0,1,0,38.7604979999996
2443,D4,1,0,3,43.321293
2443,D4,0,0,0,36.4402140000002
2443,D4,1,1,0,44.2798419999999
2443,D4,1,0,0,41.4401360000002
2443,D4,1,1,2,35.2009820000003
2443,D4,1,0,0,49.960744
2443,D4,1,1,0,33.6806759999999
2443,D4,1,0,0,47.1193289999992
2443,D4,0,0,0,35.0002850000001
2443,D4,1,1,5,36.3204999999998
2443,D5,1,0,0,51.5213949999998
2443,D5,1,1,0,35.6399730000003
2443,D5,1,0,0,40.9609139999993
2443,D5,1,1,0,36.078939
2443,D5,1,0,0,40.0415280000007
2443,D5,1,1,8,47.600993
2443,D5,1,0,0,51.8786810000001
2443,D5,1,1,2,42.0014390000006
2443,D5,1,0,0,41.9604170000002
2443,D5,1,1,0,36.0390550000002
2443,D5,1,0,0,45.4805400000005
2443,D5,1,1,6,40.4802710000004
2443,D5,0,1,4,44.8395380000002
2443,D5,1,0,0,37.6416870000003
2443,D5,0,0,0,41.8786579999996
2443,D5,1,1,0,34.8819989999993
2453,D1,1,1,0,34.4384439999994
2453,D1,1,0,2,36.3975339999997
2453,D1,0,0,0,34.6788609999994
2453,D1,0,0,5,33.8404390000005
2453,D1,0,0,0,34.520415
2453,D1,0,0,5,35.3215989999999
2453,D1,0,0,0,34.8000709999997
2453,D1,1,1,2,33.9980869999999
2453,D1,1,0,70,44.2795700000006
2453,D1,1,1,0,36.1616980000008
2453,D1,1,0,148,33.7595259999998
2453,D1,1,1,7,34.8823689999999
2453,D1,1,0,28,36.7587899999999
2453,D2,1,0,0,36.3603810000004
2453,D2,1,1,0,32.9196570000004
2453,D2,1,0,4,35.5201259999994
2453,D2,0,0,4,47.6007789999985
2453,D2,0,0,0,36.9998500000002
2453,D2,0,0,0,35.9600580000006
2453,D2,0,0,0,41.2398369999992
2453,D2,1,1,6,34.640809999999
2453,D2,1,0,7,35.5220079999999
2453,D2,0,0,0,34.2402729999994
2453,D2,1,1,24,35.838577999999
2453,D2,1,0,0,38.4820889999992
2453,D2,1,1,22,40.2397509999992
2453,D2,1,0,4,43.4798960000007
2453,D2,1,1,13,42.8810910000011
2453,D2,1,0,0,37.4791580000001
2453,D2,1,1,154,36.6813199999997
2453,D2,1,0,0,35.3606919999984
2453,D2,1,1,24,46.0797349999993
2453,D3,0,0,0,48.4806219999991
2453,D3,0,0,2,50.9990580000012
2453,D3,1,1,6,42.3208339999983
2453,D3,1,0,2,36.9614440000005
2453,D3,1,1,0,48.2004310000011
2453,D3,1,0,5,49.2011319999983
2453,D3,0,0,3,41.5204650000014
2453,D3,1,1,31,45.2004540000016
2453,D3,0,1,0,59.2793729999976
2453,D3,0,1,19,57.2403659999982
2453,D3,1,0,22,53.4417729999986
2453,D3,0,0,92,42.3600970000007
2453,D4,0,1,0,36.6424419999994
2453,D4,0,1,2,36.3197
2453,D4,1,0,0,34.8397690000002
2453,D4,0,0,8,34.2006379999993
2453,D4,0,0,4,36.0407949999999
2453,D4,0,0,3,39.5201870000001
2453,D4,1,1,4,36.9609929999997
2453,D4,1,0,7,36.56052
2453,D4,1,1,3,32.75774
2453,D4,1,0,11,34.2019129999999
2453,D4,1,1,0,57.6788750000005
2453,D4,1,0,9,33.2002339999999
2453,D5,0,1,0,37.7602270000025
2453,D5,1,0,21,37.2802910000028
2453,D5,0,0,0,41.1197649999995
2453,D5,0,0,3,37.5208740000016
2453,D5,0,0,3,48.6002420000004
2453,D5,0,0,0,37.8011220000008
2453,D5,1,1,0,35.0007479999986
2453,D5,1,0,70,39.2374259999997
2453,D5,0,0,0,38.7993389999974
2453,D5,0,0,0,35.358446000002
2453,D5,0,0,0,41.6802239999997
2453,D5,0,0,53,37.6413729999986
2453,D5,0,0,2,35.2013109999971
2467,D1,1,0,0,36.5220429999999
2467,D1,0,0,7,40.1604539999998
2467,D1,0,0,4,57.8811949999999
2467,D1,1,1,12,56.1597259999999
2467,D1,1,0,0,34.5208599999996
2467,D1,1,1,8,37.4021929999999
2467,D1,1,0,6,60.4785520000005
2467,D1,0,0,0,42.5998899999995
2467,D1,1,1,0,43.800483
2467,D1,1,0,0,48.8390570000001
2467,D1,0,0,8,33.4393250000003
2467,D1,1,1,2,39.4388220000001
2467,D2,1,0,0,35.2810690000006
2467,D2,1,1,0,52.9584649999997
2467,D2,0,1,2,33.7608829999999
2467,D2,0,1,0,33.9607750000005
2467,D2,0,1,2,36.9589040000001
2467,D2,1,0,10,35.1606000000002
2467,D2,1,1,3,38.7984940000006
2467,D2,1,0,9,32.6399970000002
2467,D2,1,1,0,36.4805040000001
2467,D2,1,0,15,50.558626
2467,D2,0,0,3,45.4004029999996
2467,D2,0,0,69,34.5602639999997
2467,D2,1,1,0,34.800628
2467,D3,0,0,0,39.3596799999996
2467,D3,0,0,4,38.3617530000001
2467,D3,0,0,2,40.6386710000006
2467,D3,1,1,0,41.0005860000001
2467,D3,1,0,4,36.2007599999997
