Animal,Day,Outcome,Side,SpikeCount,Times,ViterbiGuess
1.0,4.0,1.0,1.0,1.0,44.2798419999999,3.0
1.0,4.0,1.0,0.0,1.0,41.4401360000002,3.0
1.0,4.0,1.0,1.0,2.0,35.2009820000003,3.0
1.0,4.0,1.0,0.0,0.0,49.960744,3.0
1.0,4.0,1.0,1.0,1.0,33.6806759999999,3.0
1.0,4.0,1.0,0.0,0.0,47.1193289999992,3.0
1.0,4.0,0.0,0.0,0.0,35.0002850000001,3.0
1.0,4.0,1.0,1.0,5.0,36.3204999999998,3.0
1.0,5.0,1.0,0.0,0.0,51.5213949999998,2.0
1.0,5.0,1.0,1.0,0.0,35.6399730000003,3.0
1.0,5.0,1.0,0.0,0.0,40.9609139999993,3.0
1.0,5.0,1.0,1.0,0.0,36.078939,3.0
1.0,5.0,1.0,0.0,0.0,40.0415280000007,3.0
1.0,5.0,1.0,1.0,8.0,47.600993,3.0
1.0,5.0,1.0,0.0,1.0,51.8786810000001,3.0
1.0,5.0,1.0,1.0,3.0,42.0014390000006,3.0
1.0,5.0,1.0,0.0,0.0,41.9604170000002,3.0
1.0,5.0,1.0,1.0,1.0,36.0390550000002,3.0
1.0,5.0,1.0,0.0,0.0,45.4805400000005,3.0
1.0,5.0,1.0,1.0,6.0,40.4802710000004,3.0
1.0,5.0,0.0,1.0,4.0,44.8395380000002,3.0
1.0,5.0,1.0,0.0,0.0,37.6416870000003,3.0
1.0,5.0,0.0,0.0,1.0,41.8786579999996,3.0
1.0,5.0,1.0,1.0,2.0,34.8819989999993,3.0
2.0,1.0,1.0,1.0,0.0,34.4384439999994,2.0
2.0,1.0,1.0,0.0,3.0,36.3975339999997,2.0
2.0,1.0,0.0,0.0,0.0,34.6788609999994,2.0
2.0,1.0,0.0,0.0,6.0,33.8404390000005,2.0
2.0,1.0,0.0,0.0,1.0,34.520415,2.0
2.0,1.0,0.0,0.0,6.0,35.3215989999999,2.0
2.0,1.0,0.0,0.0,0.0,34.8000709999997,2.0
2.0,1.0,1.0,1.0,2.0,33.9980869999999,3.0
2.0,1.0,1.0,0.0,71.0,44.2795700000006,3.0
2.0,1.0,1.0,1.0,0.0,36.1616980000008,3.0
2.0,1.0,1.0,0.0,148.0,33.7595259999998,3.0
2.0,1.0,1.0,1.0,7.0,34.8823689999999,3.0
2.0,1.0,1.0,0.0,28.0,36.7587899999999,3.0
2.0,2.0,1.0,0.0,0.0,36.3603810000004,2.0
2.0,2.0,1.0,1.0,3.0,32.9196570000004,2.0
2.0,2.0,1.0,0.0,4.0,35.5201259999994,2.0
2.0,2.0,0.0,0.0,6.0,47.6007789999985,2.0
2.0,2.0,0.0,0.0,0.0,36.9998500000002,2.0
2.0,2.0,0.0,0.0,1.0,35.9600580000006,2.0
2.0,2.0,0.0,0.0,1.0,41.2398369999992,2.0
2.0,2.0,1.0,1.0,9.0,34.640809999999,3.0
2.0,2.0,1.0,0.0,7.0,35.5220079999999,3.0
2.0,2.0,0.0,0.0,0.0,34.2402729999994,3.0
2.0,2.0,1.0,1.0,25.0,35.838577999999,3.0
2.0,2.0,1.0,0.0,1.0,38.4820889999992,3.0
2.0,2.0,1.0,1.0,25.0,40.2397509999992,3.0
2.0,2.0,1.0,0.0,5.0,43.4798960000007,3.0
2.0,2.0,1.0,1.0,14.0,42.8810910000011,3.0
2.0,2.0,1.0,0.0,0.0,37.4791580000001,3.0
2.0,2.0,1.0,1.0,154.0,36.6813199999997,3.0
2.0,2.0,1.0,0.0,1.0,35.3606919999984,3.0
2.0,2.0,1.0,1.0,26.0,46.0797349999993,3.0
2.0,3.0,0.0,0.0,0.0,48.4806219999991,2.0
2.0,3.0,0.0,0.0,3.0,50.9990580000012,2.0
2.0,3.0,1.0,1.0,10.0,42.3208339999983,3.0
2.0,3.0,1.0,0.0,3.0,36.9614440000005,3.0
2.0,3.0,1.0,1.0,0.0,48.2004310000011,3.0
2.0,3.0,1.0,0.0,5.0,49.2011319999983,3.0
2.0,3.0,0.0,0.0,7.0,41.5204650000014,3.0
2.0,3.0,1.0,1.0,32.0,45.2004540000016,3.0
2.0,3.0,0.0,1.0,2.0,59.2793729999976,3.0
2.0,3.0,0.0,1.0,20.0,57.2403659999982,3.0
2.0,3.0,1.0,0.0,23.0,53.4417729999986,3.0
2.0,3.0,0.0,0.0,92.0,42.3600970000007,3.0
2.0,4.0,0.0,1.0,1.0,36.6424419999994,2.0
2.0,4.0,0.0,1.0,2.0,36.3197,2.0
2.0,4.0,1.0,0.0,3.0,34.8397690000002,2.0
2.0,4.0,0.0,0.0,9.0,34.2006379999993,2.0
2.0,4.0,0.0,0.0,5.0,36.0407949999999,2.0
2.0,4.0,0.0,0.0,6.0,39.5201870000001,2.0
2.0,4.0,1.0,1.0,5.0,36.9609929999997,3.0
2.0,4.0,1.0,0.0,9.0,36.56052,3.0
2.0,4.0,1.0,1.0,6.0,32.75774,3.0
2.0,4.0,1.0,0.0,11.0,34.2019129999999,3.0
2.0,4.0,1.0,1.0,1.0,57.6788750000005,3.0
2.0,4.0,1.0,0.0,10.0,33.2002339999999,3.0
2.0,5.0,0.0,1.0,0.0,37.7602270000025,1.0
2.0,5.0,1.0,0.0,21.0,37.2802910000028,1.0
2.0,5.0,0.0,0.0,1.0,41.1197649999995,1.0
2.0,5.0,0.0,0.0,4.0,37.5208740000016,1.0
2.0,5.0,0.0,0.0,5.0,48.6002420000004,1.0
2.0,5.0,0.0,0.0,0.0,37.8011220000008,1.0
2.0,5.0,1.0,1.0,0.0,35.0007479999986,1.0
2.0,5.0,1.0,0.0,70.0,39.2374259999997,1.0
2.0,5.0,0.0,0.0,0.0,38.7993389999974,1.0
2.0,5.0,0.0,0.0,0.0,35.358446000002,1.0
2.0,5.0,0.0,0.0,0.0,41.6802239999997,1.0
2.0,5.0,0.0,0.0,53.0,37.6413729999986,1.0
2.0,5.0,0.0,0.0,2.0,35.2013109999971,1.0
5.0,1.0,1.0,0.0,3.0,36.5220429999999,2.0
5.0,1.0,0.0,0.0,7.0,40.1604539999998,2.0
5.0,1.0,0.0,0.0,6.0,57.8811949999999,2.0
5.0,1.0,1.0,1.0,13.0,56.1597259999999,3.0
5.0,1.0,1.0,0.0,0.0,34.5208599999996,3.0
5.0,1.0,1.0,1.0,8.0,37.4021929999999,3.0
5.0,1.0,1.0,0.0,6.0,60.4785520000005,3.0
5.0,1.0,0.0,0.0,0.0,42.5998899999995,3.0
5.0,1.0,1.0,1.0,1.0,43.800483,3.0
5.0,1.0,1.0,0.0,2.0,48.8390570000001,3.0
5.0,1.0,0.0,0.0,8.0,33.4393250000003,3.0
5.0,1.0,1.0,1.0,8.0,39.4388220000001,3.0
5.0,2.0,1.0,0.0,0.0,35.2810690000006,2.0
5.0,2.0,1.0,1.0,0.0,52.9584649999997,2.0
5.0,2.0,0.0,1.0,3.0,33.7608829999999,2.0
5.0,2.0,0.0,1.0,1.0,33.9607750000005,2.0
5.0,2.0,0.0,1.0,2.0,36.9589040000001,2.0
5.0,2.0,1.0,0.0,10.0,35.1606000000002,3.0
5.0,2.0,1.0,1.0,5.0,38.7984940000006,3.0
5.0,2.0,1.0,0.0,10.0,32.6399970000002,3.0
5.0,2.0,1.0,1.0,0.0,36.4805040000001,3.0
5.0,2.0,1.0,0.0,19.0,50.558626,3.0
5.0,2.0,0.0,0.0,3.0,45.4004029999996,3.0
5.0,2.0,0.0,0.0,69.0,34.5602639999997,3.0
5.0,2.0,1.0,1.0,0.0,34.800628,3.0
5.0,3.0,0.0,0.0,1.0,39.3596799999996,2.0
5.0,3.0,0.0,0.0,6.0,38.3617530000001,2.0
5.0,3.0,0.0,0.0,2.0,40.6386710000006,2.0
5.0,3.0,1.0,1.0,0.0,41.0005860000001,3.0
5.0,3.0,1.0,0.0,4.0,36.2007599999997,3.0
5.0,3.0,0.0,0.0,0.0,39.9608699999999,3.0
5.0,3.0,1.0,1.0,5.0,36.4804640000002,3.0
5.0,3.0,1.0,0.0,0.0,39.6806210000004,3.0
